dataset_name,source_file,dataset_role,scenario_type,cleaned_at,exercise_name,dt_exercise_quarter,id_rssd,disclosure_legal_name,scenario_id,scenario_name,tier1_common_actual_rat,tier1_common_end_rat,tier1_common_min_rat,common_equity_tier1_actual_rat,common_equity_tier1_end_rat,common_equity_tier1_min_rat,tier1_capital_actual_rat,tier1_capital_end_rat,tier1_capital_min_rat,total_capital_actual_rat,total_capital_end_rat,total_capital_min_rat,tier1_leverage_actual_rat,tier1_leverage_end_rat,tier1_leverage_min_rat,supp_leverage_actual_rat,supp_leverage_end_rat,supp_leverage_min_rat,rwa_general_appr_actual_amt,rwa_general_appr_end_amt,rwa_standardized_appr_actual_amt,rwa_standardized_appr_end_amt,loss_total_loan_amt,loss_total_loan_rate,loss_dom_first_mtg_amt,loss_dom_first_mtg_rate,loss_dom_jr_lien_heloc_amt,loss_dom_jr_lien_heloc_rate,loss_comml_ind_loan_amt,loss_comml_ind_loan_rate,loss_dom_cre_loan_amt,loss_dom_cre_loan_rate,loss_credit_card_loan_amt,loss_credit_card_loan_rate,loss_other_consumer_loan_amt,loss_other_consumer_loan_rate,loss_other_loan_amt,loss_other_loan_rate,revenue_preprovision_net_amt,revenue_preprovision_net_rate,income_net_interest_amt,income_net_interest_rate,income_noninterest_amt,income_noninterest_rate,expense_noninterest_amt,expense_noninterest_rate,revenue_other_amt,provision_amt,loss_securities_amt,loss_trading_counterparty_amt,loss_other_amt,income_pretax_net_amt,income_pretax_net_rate,income_other_comprehensive_amt,aoci_incl_capital_actual_amt,aoci_incl_capital_end_amt,projected_stressed_capital_ratios_and_components_losses_revenues_net_income_before_taxes_and_loan_losses,x2,x3,x4,x5,x6,x7,x8,x9,x10,date,real_gdp_growth,nominal_gdp_growth,real_disposable_income_growth,nominal_disposable_income_growth,unemployment_rate,cpi_inflation_rate,x3_month_treasury_rate,x5_year_treasury_yield,x10_year_treasury_yield,bbb_corporate_yield,mortgage_rate,prime_rate,dow_jones_total_stock_market_index_level,house_price_index_level,commercial_real_estate_price_index_level,market_volatility_index_level
fed_macro_historic_domestic_clean,fed_2026_Final_Historic_Domestic.csv,Historic domestic macro data,historic domestic,2026-06-29 18:30:19.176592,NA,NA,NA,NA,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976 Q1,9.3,14,5,9.6,7.7,4.7,4.9,7.4,7.6,NA,8.9,6.8,NA,22.8,50.9,NA
fed_macro_historic_domestic_clean,fed_2026_Final_Historic_Domestic.csv,Historic domestic macro data,historic domestic,2026-06-29 18:30:19.176592,NA,NA,NA,NA,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976 Q2,3,7.2,2.3,5.8,7.6,3.6,5.2,7.4,7.6,NA,8.8,6.9,NA,23.6,51.8,NA
fed_macro_historic_domestic_clean,fed_2026_Final_Historic_Domestic.csv,Historic domestic macro data,historic domestic,2026-06-29 18:30:19.176592,NA,NA,NA,NA,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976 Q3,2.2,7.6,3.2,9.6,7.7,6.5,5.2,7.3,7.6,NA,9,7.1,NA,24.2,52.6,NA
fed_macro_historic_domestic_clean,fed_2026_Final_Historic_Domestic.csv,Historic domestic macro data,historic domestic,2026-06-29 18:30:19.176592,NA,NA,NA,NA,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976 Q4,2.9,10.5,2.6,9.2,7.8,5.9,4.7,6.5,7.1,NA,8.8,6.5,NA,25.2,53.4,NA
fed_macro_historic_domestic_clean,fed_2026_Final_Historic_Domestic.csv,Historic domestic macro data,historic domestic,2026-06-29 18:30:19.176592,NA,NA,NA,NA,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977 Q1,4.8,11.7,0.9,8.4,7.5,7.5,4.6,6.8,7.2,NA,8.7,6.3,NA,26.2,55,NA
fed_macro_baseline_domestic_clean,fed_2026_Final_Supervisory_Baseline_Domestic.csv,Supervisory baseline domestic scenario,baseline domestic,2026-06-29 18:30:19.180538,NA,NA,NA,NA,NA,Supervisory Baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026 Q1,1.9,4.8,3.1,6.2,4.6,3,3.6,3.7,4.1,5.2,6.1,6.6,68298.9,324.7,309.5,23
fed_macro_baseline_domestic_clean,fed_2026_Final_Supervisory_Baseline_Domestic.csv,Supervisory baseline domestic scenario,baseline domestic,2026-06-29 18:30:19.180538,NA,NA,NA,NA,NA,Supervisory Baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026 Q2,1.9,4.5,2.1,4.8,4.6,2.7,3.4,3.6,4.1,5.3,6,6.4,69057.1,325.8,312.9,22
fed_macro_baseline_domestic_clean,fed_2026_Final_Supervisory_Baseline_Domestic.csv,Supervisory baseline domestic scenario,baseline domestic,2026-06-29 18:30:19.180538,NA,NA,NA,NA,NA,Supervisory Baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026 Q3,2,4.5,1.9,4.5,4.6,2.6,3.2,3.7,4.1,5.3,6,6.2,69820,326.3,316.3,21.9
fed_macro_baseline_domestic_clean,fed_2026_Final_Supervisory_Baseline_Domestic.csv,Supervisory baseline domestic scenario,baseline domestic,2026-06-29 18:30:19.180538,NA,NA,NA,NA,NA,Supervisory Baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026 Q4,2,4.5,2.2,4.6,4.5,2.5,3.1,3.7,4.1,5.4,6,6.1,70592,326.7,319.8,22.1
fed_macro_baseline_domestic_clean,fed_2026_Final_Supervisory_Baseline_Domestic.csv,Supervisory baseline domestic scenario,baseline domestic,2026-06-29 18:30:19.180538,NA,NA,NA,NA,NA,Supervisory Baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2027 Q1,2.1,4.5,2.4,4.8,4.5,2.5,3.1,3.7,4.1,5.4,5.9,6.1,71366.4,327,323.4,22.5
fed_macro_severely_adverse_domestic_clean,fed_2026_Final_Supervisory_Severely_Adverse_Domestic.csv,Supervisory severely adverse domestic scenario,severely adverse domestic,2026-06-29 18:30:19.184916,NA,NA,NA,NA,NA,Supervisory Severely Adverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026 Q1,-5.4,-3.1,-0.9,1.4,5.9,2.5,2.5,2.4,3.1,7.5,6,5.5,41364,303,291,59.7
fed_macro_severely_adverse_domestic_clean,fed_2026_Final_Supervisory_Severely_Adverse_Domestic.csv,Supervisory severely adverse domestic scenario,severely adverse domestic,2026-06-29 18:30:19.184916,NA,NA,NA,NA,NA,Supervisory Severely Adverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026 Q2,-4.9,-3.3,-1.1,0.5,7.2,1.8,0.1,1.8,2.7,8.2,5.9,3.1,34732.1,283.2,276.1,72
fed_macro_severely_adverse_domestic_clean,fed_2026_Final_Supervisory_Severely_Adverse_Domestic.csv,Supervisory severely adverse domestic scenario,severely adverse domestic,2026-06-29 18:30:19.184916,NA,NA,NA,NA,NA,Supervisory Severely Adverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026 Q3,-3.8,-2.9,-0.7,0.2,8.2,1.1,0.1,1.4,2.4,8.1,5.8,3.1,28490.3,273.1,261.3,70.9
fed_macro_severely_adverse_domestic_clean,fed_2026_Final_Supervisory_Severely_Adverse_Domestic.csv,Supervisory severely adverse domestic scenario,severely adverse domestic,2026-06-29 18:30:19.184916,NA,NA,NA,NA,NA,Supervisory Severely Adverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026 Q4,-2.7,-1.9,-0.3,0.5,9,1,0.1,1.3,2.3,7.9,5.7,3.1,31161.2,263.1,246.4,66.6
fed_macro_severely_adverse_domestic_clean,fed_2026_Final_Supervisory_Severely_Adverse_Domestic.csv,Supervisory severely adverse domestic scenario,severely adverse domestic,2026-06-29 18:30:19.184916,NA,NA,NA,NA,NA,Supervisory Severely Adverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2027 Q1,-1.4,-0.5,0.3,1.2,9.5,1.1,0.1,1.3,2.3,7.5,5.6,3.1,33832.2,253.6,231.6,62.3
