bank_rssd_id,bank_name,observations,rmse_credit_loss_ratio,rmse_ppnr_ratio,rmse_capital_depletion,rmse_cet1_min_ratio
1025608,BancWest Corporation,2,0.004663816118790125,0.006907490166331972,0.20084245240331017,0.20084245240331014
1070345,Fifth Third Bancorp,12,0.004056800782900425,0.005620029388341609,0.20069089974551274,0.2006908997455129
5005998,BancWest Corporation,2,0.004368701187524551,0.00697165297640806,0.19689241404383456,0.19689241404383456
1074156,Truist Financial Corporation,15,0.002935417162418481,0.003160511354425607,0.18012292071302255,0.18012292071302258
NA,18 participating firms,2,0.0015730286771418796,0.0010819540363409368,0.15940020201958438,0.15940020201958482
1078529,"BBVA Compass Bancshares, Inc.",6,0.005509635760297253,0.005548627914513864,0.1203247332654253,0.12032473326542535
NA,33 participating firms,3,0.001523399053731079,0.001397576315809888,0.09086821280625794,0.09086821280625784
3226762,RBC USA Holdco Corporation,2,0.0036841806253453194,0.0035194416419086234,0.04628713662764561,0.04628713662764561
NA,33 participating bank holding companies,2,0.0010448362491505547,0.0024571734487258273,0.03859877564590475,0.03859877564590519
4504654,Synchrony Financial,1,5.551115123125783e-17,2.7755575615628914e-17,3.566591466608315e-15,3.552713678800501e-15
1075612,"First Citizens Bancshares, Inc.",1,2.7755575615628914e-17,2.0816681711721685e-17,2.6645352591003757e-15,2.6645352591003757e-15
NA,22 participating banks,1,2.0122792321330962e-16,1.8041124150158794e-16,1.7763568394002505e-15,1.7763568394002505e-15
NA,23 participating banks,1,1.0408340855860843e-16,2.0816681711721685e-17,1.3322676295501878e-15,1.7763568394002505e-15
NA,23 participating firms,1,7.632783294297951e-17,1.0408340855860843e-16,2.6645352591003757e-15,1.7763568394002505e-15
NA,31 participating banks,1,4.85722573273506e-17,3.469446951953614e-17,8.881784197001252e-16,1.7763568394002505e-15
NA,32 participating banks,1,6.938893903907228e-18,4.163336342344337e-17,1.7763568394002505e-15,1.7763568394002505e-15
NA,33 participating banks,1,2.0816681711721685e-17,4.85722573273506e-17,1.3322676295501878e-15,1.7763568394002505e-15
