bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,ppnr_amount,total_loan_losses_amount,securities_losses_amount,trading_counterparty_losses_amount,other_losses_amount,total_observed_losses_amount,provision_amount,pretax_net_income_amount,implied_pretax_from_components,pretax_identity_gap
1074156,BB&T Corporation,2014,3,Supervisory Severely Adverse,8,6,0,0,0,6,7.2,0.7,0.7999999999999998,-0.09999999999999987
1078529,"BBVA Compass Bancshares, Inc.",2014,2,Supervisory Adverse,1.8,2,0,0,0,2,2.2,-0.4,-0.40000000000000013,1.1102230246251565e-16
1078529,"BBVA Compass Bancshares, Inc.",2014,3,Supervisory Severely Adverse,1.1,3.2,0.1,0,0.1,3.4000000000000004,3.8,-2.8,-2.9,0.10000000000000009
1245415,BMO Financial Corp.,2014,2,Supervisory Adverse,2.4,1.7,0,0,0,1.7,1.5,0.9,0.8999999999999999,1.1102230246251565e-16
1245415,BMO Financial Corp.,2014,3,Supervisory Severely Adverse,1.1,2.7,0,0,0,2.7,2.8,-1.7,-1.6999999999999997,-2.220446049250313e-16
1073757,Bank of America Corporation,2014,2,Supervisory Adverse,61.6,31,0.5,9.1,2.2,42.800000000000004,29.2,20.6,20.600000000000005,-3.552713678800501e-15
1073757,Bank of America Corporation,2014,3,Supervisory Severely Adverse,34.4,45.7,0.9,17.6,4.1,68.3,49.1,-37.3,-37.300000000000004,7.105427357601002e-15
2277860,Capital One Financial Corporation,2014,2,Supervisory Adverse,23.1,17.2,0,0,0.1,17.3,20.1,2.9,2.9,0
2277860,Capital One Financial Corporation,2014,3,Supervisory Severely Adverse,21.7,22.2,0.1,0,0.1,22.400000000000002,25.9,-4.4,-4.399999999999999,-1.7763568394002505e-15
1951350,Citigroup Inc.,2014,2,Supervisory Adverse,50.9,36,2,10.1,3.5,51.6,34.8,0.5,0.5000000000000018,-1.7763568394002505e-15
1951350,Citigroup Inc.,2014,3,Supervisory Severely Adverse,29.1,48.3,3.4,18.5,5.3,75.49999999999999,50.3,-48.4,-48.39999999999999,-7.105427357601002e-15
1132449,"Citizens Financial Group, Inc.",2014,2,Supervisory Adverse,4.8,3.3,0,0,0,3.3,3.4,1.4,1.4,0
1132449,"Citizens Financial Group, Inc.",2014,3,Supervisory Severely Adverse,3.9,4.8,0.2,0,0.1,5.1,5.4,-1.8,-1.8000000000000005,4.440892098500626e-16
1199844,Comerica Incorporated,2014,2,Supervisory Adverse,2.8,1.3,0,0,0,1.3,1.2,1.6,1.5999999999999999,2.220446049250313e-16
1199844,Comerica Incorporated,2014,3,Supervisory Severely Adverse,1.7,2.2,0,0,0,2.2,2.5,-0.7,-0.8,0.10000000000000009
1032473,Deutsche Bank Trust Corporation,2014,2,Supervisory Adverse,2.8,0.5,0,0,0,0.5,0.7,2.2,2.0999999999999996,0.10000000000000053
1032473,Deutsche Bank Trust Corporation,2014,3,Supervisory Severely Adverse,1,0.8,0,0,0,0.8,1.1,-0.1,-0.10000000000000009,8.326672684688674e-17
3846375,Discover Financial Services,2014,2,Supervisory Adverse,13.5,6.8,0,0,0,6.8,8.5,5,5,0
3846375,Discover Financial Services,2014,3,Supervisory Severely Adverse,12.9,8.3,0,0,0,8.3,10.1,2.7,2.8000000000000007,-0.10000000000000053
1070345,Fifth Third Bancorp,2014,2,Supervisory Adverse,6.3,3.4,0,0,0,3.4,3.3,3,3,0
1070345,Fifth Third Bancorp,2014,3,Supervisory Severely Adverse,4.7,5.2,0,0,0,5.2,5.5,-0.8,-0.7999999999999998,-2.220446049250313e-16
3232316,HSBC North America Holdings Inc.,2014,2,Supervisory Adverse,4.5,6.1,0,0,0.3,6.3999999999999995,4.9,-0.7,-0.7000000000000004,4.440892098500626e-16
3232316,HSBC North America Holdings Inc.,2014,3,Supervisory Severely Adverse,-0.7,8.2,0.1,0,0.7,8.999999999999998,7.6,-9.1,-9.099999999999998,-1.7763568394002505e-15
1068191,Huntington Bancshares Incorporated,2014,2,Supervisory Adverse,2.5,1.4,0.1,0,0,1.5,1.4,1,1,0
1068191,Huntington Bancshares Incorporated,2014,3,Supervisory Severely Adverse,2.2,2,0.2,0,0,2.2,2.1,-0.1,-0.09999999999999992,-8.326672684688674e-17
1039502,JPMorgan Chase & Co.,2014,2,Supervisory Adverse,70.5,33.1,2.3,12.2,1.1,48.699999999999996,33.7,21.2,21.2,0
