bank_rssd_id,bank_name,observations,mean_actual,mean_predicted,mean_residual,rmse
1562859,Ally Financial Inc.,12,0.03802199798518394,0.038021997985184054,-1.1651550523717686e-16,0.006684526579648902
1027004,Zions Bancorporation,4,0.029175052460381146,0.029175052460381184,-4.0766001685454967e-17,0.00667266356595039
1378434,MUFG Americas Holdings Corporation,10,0.021408451137158457,0.021408451137158543,-8.56954442688837e-17,0.0066723576382483425
5006575,Barclays US LLC,13,0.05625366224930552,0.05625366224930548,3.6829578954042e-17,0.006600050743759762
1068191,Huntington Bancshares Incorporated,12,0.039335736691179034,0.039335736691179075,-3.9898639947466563e-17,0.0063558629735828865
3846375,Discover Financial Services,11,0.16295625467148667,0.16295625467148686,-2.043817348879182e-16,0.005743020015502316
1070345,Fifth Third Bancorp,12,0.03934163251752127,0.03934163251752126,2.3129822811554773e-18,0.005620029388341609
1078529,"BBVA Compass Bancshares, Inc.",6,0.02739693622181157,0.02739693622181151,6.013708050052931e-17,0.005548627914513864
1132449,"Citizens Financial Group, Inc.",13,0.02865401604973475,0.028654016049734797,-4.6704191318561796e-17,0.005487821666796832
1069778,"The PNC Financial Services Group, Inc.",17,0.036921611478791985,0.03692161147879204,-5.163353404966261e-17,0.005186544638296521
1575569,"BNP Paribas USA, Inc.",6,0.014920829655243177,0.014920829655243177,5.781617493201306e-19,0.004846751542320043
1068025,KeyCorp,12,0.0333277606427081,0.03332776064270816,-6.129368634348533e-17,0.00476416408083805
1073757,Bank of America Corporation,17,0.030059460127457194,0.030059460127457246,-5.34705242976535e-17,0.0047332156023399494
3981856,"Santander Holdings USA, Inc.",12,0.06562917275535435,0.06562917275535439,-3.9320434081847096e-17,0.004591146133153826
5280254,RBC US Group Holdings LLC,9,0.021937477079455155,0.021937477079455085,6.861776259798321e-17,0.004550975705563023
1074156,BB&T Corporation,6,0.04938334132201315,0.04938334132201331,-1.642204184730588e-16,0.004405075950896565
1032473,Deutsche Bank Trust Corporation,4,0.04675648137665572,0.04675648137665563,9.107298248878237e-17,0.004393385104616393
1131787,"SunTrust Banks, Inc.",6,0.035940651338879664,0.03594065133887975,-8.557974442108169e-17,0.004354322556939132
NA,35 participating firms,2,0.04773614208346608,0.04773614208346608,-3.469446951953614e-18,0.004297962953701776
1039502,JPMorgan Chase & Co.,17,0.045428633060072346,0.0454286330600724,-5.469498516111082e-17,0.004280788340943829
1074156,Truist Financial Corporation,9,0.03208276313959463,0.03208276313959467,-4.3560928067078404e-17,0.003729217026910971
3226762,RBC USA Holdco Corporation,2,0.03061224489795918,0.030612244897959245,-6.765421556309548e-17,0.00351944164190862
NA,34 participating bank holding companies,2,0.04917755225595928,0.049177552255959364,-7.979727989493313e-17,0.003150536461115395
NA,33 participating bank holding companies,2,0.04473116486540005,0.044731164865400214,-1.700029006457271e-16,0.002457173448725824
1199844,Comerica Incorporated,4,0.025448350071736008,0.025448350071736098,-9.194034422677078e-17,0.0017865687176373249
NA,33 participating firms,3,0.03740393207431375,0.03740393207431369,5.78241335124133e-17,0.001397576315809888
NA,18 participating firms,2,0.043498135010604844,0.043498135010604955,-1.0755285551056204e-16,0.0010819540363409368
1036967,CIT Group Inc.,2,0.027089783281733747,0.02708978328173365,9.540979117872439e-17,9.350664691178869e-4
NA,22 participating banks,1,0.04527781261758435,0.04527781261758417,1.8041124150158794e-16,1.8041124150158794e-16
NA,23 participating firms,1,0.03222253417705116,0.03222253417705106,1.0408340855860843e-16,1.0408340855860843e-16
NA,32 participating banks,1,0.0571374079165905,0.05713740791659054,-4.163336342344337e-17,4.163336342344337e-17
NA,33 participating banks,1,0.03686602956440817,0.036866029564408126,4.163336342344337e-17,4.163336342344337e-17
NA,31 participating banks,1,0.03603760749358963,0.03603760749358959,3.469446951953614e-17,3.469446951953614e-17
4504654,Synchrony Financial,1,0.16941244239631306,0.1694124423963131,-2.7755575615628914e-17,2.7755575615628914e-17
1075612,"First Citizens Bancshares, Inc.",1,0.03573391973611874,0.03573391973611872,2.0816681711721685e-17,2.0816681711721685e-17
NA,23 participating banks,1,0.03458835888643323,0.03458835888643321,2.0816681711721685e-17,2.0816681711721685e-17
