bank_rssd_id,bank_name,n_years,n_scenarios,observations,mean_cet1_actual_ratio,mean_cet1_min_ratio,mean_cet1_depletion_min,max_cet1_depletion_min,total_loan_losses_amount,total_ppnr_amount,total_provision_amount,total_pretax_net_income_amount,mean_ppnr_loss_absorption_ratio,mean_rwa_growth_rate,aggregate_ppnr_to_losses_ratio
3606542,TD Group US Holdings LLC,11,3,17,15.788235294117648,13.717647058823529,2.0705882352941174,4.800000000000001,157.5,121.8,156.5,-38.1,0.8061313163981323,0.06083707676545577,0.7733333333333333
1037003,M&T Bank Corporation,12,3,18,10.685714285714285,7.95,2.8,4.7,106.7,87.3,115,-28.7,0.9674420392931498,0.030187300570604102,0.8181818181818181
1378434,MUFG Americas Holdings Corporation,6,3,12,14.433333333333334,11.541666666666666,2.8916666666666666,4.699999999999999,44.7,24.6,49.5,-28.2,0.627868821721023,0.05780148725769498,0.5503355704697986
1068025,KeyCorp,11,3,17,10.008333333333333,8.38125,2.158333333333333,4.5,76.2,65.7,79.8,-17.8,0.933815634435346,0.09381461079602972,0.8622047244094488
1075612,"First Citizens Bancshares, Inc.",1,1,1,11.2,6.7,4.499999999999999,4.499999999999999,12.7,6.5,14.5,-8.2,0.5038759689922481,-0.00824628916987355,0.5118110236220472
3226762,RBC USA Holdco Corporation,1,2,2,15.6,12.3,3.3,4.4,4.7,4.2,5.6,-2.4000000000000004,0.8087837837837838,0.08892128279883395,0.8936170212765957
NA,35 participating firms,1,2,2,12.3,9.4,2.9000000000000004,4.4,692.2,959,753.3,-13.5,1.1267424144190872,0.06521782414781782,1.38543773475874
1132449,"Citizens Financial Group, Inc.",10,3,15,10.653846153846153,8.233333333333334,2.938461538461538,4.3999999999999995,98,61.8,106.4,-46.3,0.7117200100976919,0.031390477440946855,0.6306122448979592
1032473,Deutsche Bank Trust Corporation,3,2,6,49.25,40.28333333333333,3.525000000000002,4.200000000000003,3.3000000000000003,6.6,4.2,2.6,2.270833333333333,0.08448432016302511,1.9999999999999998
1078529,"BBVA Compass Bancshares, Inc.",5,2,10,11.333333333333334,8.74,2.816666666666667,4.200000000000001,27.8,17.2,29.9,-13.2,0.6678082430868808,0.07365703883630964,0.618705035971223
1120754,Wells Fargo & Company,14,3,22,11.284210526315789,8.866666666666667,2.3368421052631576,4.199999999999999,1026.5,1189.4,1065.6,-120.2,1.0710838117423462,0.033149952699840696,1.1586945932781296
5006575,Barclays US LLC,9,3,13,14.992307692307692,12.223076923076922,2.7692307692307696,4.199999999999999,57.4,69.3,51.3,1.5,0.9858477617325853,0.005906848742273376,1.2073170731707317
1069778,"The PNC Financial Services Group, Inc.",14,3,22,10.489473684210527,8.833333333333334,1.5789473684210524,4,257.9,279.1,255.3,11.9,1.209761074836314,0.03601457955594228,1.0822024040325708
5005998,BancWest Corporation,1,2,2,13.1,10.45,2.6499999999999995,4,7.6,5.5,8.7,-3.2,0.7898019075568599,0.10674157303370793,0.7236842105263158
NA,33 participating bank holding companies,1,2,2,12.3,9.45,2.8500000000000005,3.9,636.9,858.4000000000001,701.2,-53.400000000000006,1.0965565321724071,0.10427718314556389,1.347778301146177
1025608,BancWest Corporation,1,2,2,12.3,9.899999999999999,2.4000000000000012,3.700000000000001,7.2,5.7,8.6,-2.9,0.8555555555555555,0.08815426997245188,0.7916666666666666
3242838,Regions Financial Corporation,11,3,18,10.346153846153847,8.782352941176471,1.8846153846153846,3.6000000000000005,90.9,78.5,94.3,-16.8,0.9052864883007773,0.0331309300201942,0.8635863586358635
1074156,BB&T Corporation,6,2,11,10.233333333333333,8.52,1.8499999999999994,3.4000000000000004,61.5,92.8,68.6,23.2,1.626412018003165,0.10070958950939632,1.5089430894308942
3846375,Discover Financial Services,9,3,15,12.554545454545455,11.293333333333333,2.0727272727272723,3.3999999999999986,181.6,214.5,190.2,24,1.3104198755946523,0.0479482807745187,1.1811674008810573
NA,34 participating bank holding companies,1,2,2,12.5,9.95,2.5500000000000007,3.3000000000000007,640.5,958.5,684.7,103.00000000000001,1.2645634091422813,0.09826275230110929,1.4964871194379392
1562859,Ally Financial Inc.,11,3,17,9.65,7.6125,2.2916666666666665,3.2,107.1,79.1,116.5,-45.300000000000004,0.7249934283770771,0.03539154442469418,0.738562091503268
NA,18 participating firms,1,2,2,12.3,10.3,2.000000000000001,3.1000000000000014,489.4,713.7,525.1,12.799999999999997,1.1562725822322852,0.030418830298154537,1.4583163056804251
1070345,Fifth Third Bancorp,11,3,17,10.108333333333334,8.24375,1.9000000000000001,3.0999999999999996,101,91.5,101.3,-11,1.010585324553215,0.04077828519029241,0.905940594059406
1131787,"SunTrust Banks, Inc.",6,2,11,9.766666666666666,8.36,1.8999999999999997,3.0999999999999996,60.6,71,64.3,0.4000000000000017,1.1580097719600946,0.09055383962909268,1.1716171617161717
3587146,The Bank of New York Mellon Corporation,14,3,22,12.310526315789474,11.766666666666667,0.7315789473684211,2.9000000000000004,30.400000000000002,216.6,34.5,152.2,4.164016570755051,0.026362647009702443,7.124999999999999
NA,31 participating banks,1,1,1,12.7,9.9,2.799999999999999,2.799999999999999,569.5,413.2,570.5,-270.3,0.605332552007032,-0.01166076505782404,0.725548726953468
NA,33 participating banks,1,1,1,12.4,9.7,2.700000000000001,2.700000000000001,463.3,412,460.8,-197.6,0.6730926319228883,-0.01074662657933358,0.8892726095402547
NA,33 participating firms,2,2,3,12.133333333333333,9.733333333333333,2.4,2.5999999999999996,1438,1163,1358.2,-548.3,0.65435413160423,-0.00940676442632818,0.8087621696801113
NA,23 participating banks,1,1,1,12.4,9.9,2.5,2.5,424,349,421.9,-190.4,0.644506001846722,-0.01156579221216843,0.8231132075471698
1119794,U.S. Bancorp,14,3,22,9.510526315789473,8.366666666666667,1.1105263157894736,2.4000000000000004,381.3,448.7,383,63.6,1.3050718920627065,0.03595713329715525,1.1767637031209022
NA,23 participating firms,1,1,1,13,10.6,2.4000000000000004,2.4000000000000004,353,298.4,294.2,-117.1,0.6291376765760067,-0.00921106623760891,0.8453257790368272
3981856,"Santander Holdings USA, Inc.",10,3,16,14.4,12.675,0.6083333333333334,2.3000000000000007,118.3,111.1,96.2,12.7,0.9814642967835034,0.0452403011453588,0.9391377852916314
1074156,Truist Financial Corporation,7,2,9,9.988888888888889,8.2,1.788888888888889,2.3,163.1,116.8,169.2,-57.4,0.6953977580538034,-0.003153713895971581,0.7161250766400981
1199611,Northern Trust Corporation,13,3,21,12.273684210526316,11.476190476190476,0.7315789473684212,2.200000000000001,39.3,66.8,47.5,17.6,1.9713213758986152,0.031331395014329216,1.6997455470737914
1199844,Comerica Incorporated,4,2,8,10.8,9.45,1.1999999999999997,2.1999999999999993,13.9,14.5,13.5,1,1.185006569517439,0.0835545193687231,1.0431654676258992
NA,22 participating banks,1,1,1,13.4,11.6,1.8000000000000007,1.8000000000000007,471.9,469.3,472.6,-80.4,0.8548269581056467,-0.00741927080820843,0.9944903581267218
1275216,American Express Company,12,3,18,11.633333333333333,11.270588235294118,0.6466666666666667,1.700000000000001,244.3,423.5,285.7,138.8,1.8566444736792147,0.03637557543292099,1.7335243553008595
NA,32 participating banks,1,1,1,12.8,11.2,1.6000000000000014,1.6000000000000014,624.9,719,634.7,1.2,1.015536723163842,-0.00337738502984019,1.150584093454953
1036967,CIT Group Inc.,1,2,2,14,13.100000000000001,0.8999999999999995,1.0999999999999996,4.2,3.5,4.8,-2.3,0.7416666666666667,-0.2306501547987615,0.8333333333333333
4504654,Synchrony Financial,1,1,1,12.6,12.5,0.09999999999999964,0.09999999999999964,21.5,25.5,16.7,8.8,1.186046511627907,0.0314285714285714,1.186046511627907
1026632,The Charles Schwab Corporation,5,1,5,25.64,26.62,-0.9800000000000019,-0.5,6.8,56.599999999999994,8.9,48.5,9.864199134199135,0.004024851134890474,8.323529411764705
1132449,"RBS Citizens Financial Group, Inc.",1,2,2,NA,11.6,NA,NA,8.600000000000001,8.2,9.7,-1.8,0.9655870445344129,NA,0.9534883720930231
1378434,UnionBanCal Corporation,1,2,2,NA,9.649999999999999,NA,NA,5.4,3.0999999999999996,6.3,-4,0.5844298245614035,NA,0.574074074074074
NA,18 participating bank holding companies,1,1,1,NA,NA,NA,NA,316.6,267.8,317.2,-194.1,0.579027027027027,NA,0.8458622867972204
NA,30 participating bank holding companies,1,2,2,NA,8.600000000000001,NA,NA,632.6,760.2,662,-124.69999999999999,0.9413590634717395,NA,1.2017072399620614
NA,31 participating bank holding companies,1,2,2,NA,8.55,NA,NA,575.2,810.9000000000001,625.9,-44.39999999999998,1.1130867317933246,NA,1.4097705146036161
