bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,cet1_actual_ratio,cet1_min_ratio,cet1_depletion_min,total_loan_losses_amount,ppnr_amount,ppnr_loss_absorption_ratio,rwa_growth_rate,stress_rank
1245415,BMO Financial Corp.,2020,3,Supervisory Severely Adverse,12.1,7,5.1,6.5,0.8,0.12307692307692308,-0.0063846767757382,66
2162966,Morgan Stanley,2019,3,Supervisory Severely Adverse,16.4,11.3,5.099999999999998,5.3,5,0.2450980392156863,-0.01623541349568741,67
2277860,Capital One Financial Corporation,2020,30,Supervisory Alternative Severe,12.4,7.4,5,39.7,23.1,0.5789473684210525,0.01033769813921433,68
2380443,"The Goldman Sachs Group, Inc.",2020,30,Supervisory Alternative Severe,13.3,8.3,5,13.4,16,0.41131105398457585,-0.01669330491919726,69
1575569,"BNP Paribas USA, Inc.",2020,30,Supervisory Alternative Severe,15.8,10.8,5,4.8,0.8,0.16666666666666669,-0.01114827201783723,70
1039502,JPMorgan Chase & Co.,2017,3,Supervisory Severely Adverse,12.2,7.2,4.999999999999999,61.8,71.5,0.7655246252676661,0.05835278426142047,71
3232316,HSBC North America Holdings Inc.,2016,3,Supervisory Severely Adverse,17.9,12.9,4.999999999999998,3.9,-1.4,-0.3111111111111111,0.02215868477483913,72
1574834,"Credit Suisse Holdings (USA), Inc.",2018,2,Supervisory Adverse,25.8,20.9,4.900000000000002,0.1,2.8,0.8484848484848484,-0.05383360522022834,73
1073757,Bank of America Corporation,2014,3,Supervisory Severely Adverse,12,7.1,4.9,45.7,34.4,0.5036603221083455,NA,74
2380443,"The Goldman Sachs Group, Inc.",2022,3,Supervisory Severely Adverse,15,10.1,4.9,19.4,26.7,0.6040723981900453,-0.01408019589837761,75
1574834,"Credit Suisse Holdings (USA), Inc.",2017,2,Supervisory Adverse,24.7,19.8,4.899999999999999,0.1,2.1,1,0.07503828483920376,76
2380443,"The Goldman Sachs Group, Inc.",2020,3,Supervisory Severely Adverse,13.3,8.5,4.800000000000001,13.5,17.4,0.45910290237467016,-0.01740365832001432,77
3606542,TD Group US Holdings LLC,2017,3,Supervisory Severely Adverse,16,11.2,4.800000000000001,9.9,10.7,1.0388349514563104,0.08021923268560052,78
1068191,Huntington Bancshares Incorporated,2015,3,Supervisory Severely Adverse,9.8,5,4.800000000000001,3.1,2.2,0.6875,0.3955479452054795,79
1039502,JPMorgan Chase & Co.,2014,3,Supervisory Severely Adverse,11.1,6.3,4.8,49.7,30.4,0.3823899371069182,NA,80
1037003,M&T Bank Corporation,2020,30,Supervisory Alternative Severe,9.5,4.8,4.7,8.8,4.3,0.4831460674157303,-0.01041666666666661,81
3606542,TD Group US Holdings LLC,2015,3,Supervisory Severely Adverse,13.1,8.4,4.699999999999999,9.3,4.3,0.45744680851063824,0.2174189446916719,82
2162966,Morgan Stanley,2020,3,Supervisory Severely Adverse,17.4,12.7,4.699999999999999,7.7,16.1,0.62890625,-0.0174354447141912,83
1378434,MUFG Americas Holdings Corporation,2014,3,Supervisory Severely Adverse,12.7,8,4.699999999999999,3.8,1.1,0.25000000000000006,NA,84
5280254,RBC US Group Holdings LLC,2024,3,Supervisory Severely Adverse,17.3,12.7,4.600000000000001,5.3,1.9,0.3220338983050848,-0.04344122657580927,85
1575569,"BNP Paribas USA, Inc.",2020,3,Supervisory Severely Adverse,15.8,11.2,4.600000000000001,5,0.8,0.16,-0.00891861761426975,86
2162966,Morgan Stanley,2016,2,Supervisory Adverse,17.8,13.2,4.600000000000001,2.3,9.4,0.8703703703703703,0.09582598471487368,87
2277860,Capital One Financial Corporation,2017,3,Supervisory Severely Adverse,10.3,5.7,4.6000000000000005,34.8,32,0.906515580736544,0.07118412046543468,88
2162966,Morgan Stanley,2023,3,Supervisory Severely Adverse,15.2,10.6,4.6,10.1,22.4,0.83271375464684,-0.01118175838631884,89
2162966,Morgan Stanley,2021,3,Supervisory Severely Adverse,16,11.4,4.6,10,23.6,0.8339222614840991,-0.00339054884509422,90
2162966,Morgan Stanley,2020,30,Supervisory Alternative Severe,16.5,11.9,4.6,7.1,5.1,0.2307692307692308,-0.01780986762936216,91
3232316,HSBC North America Holdings Inc.,2017,2,Supervisory Adverse,15.5,10.9,4.6,2.1,-0.6,-0.21428571428571425,0.05837755875663372,92
2277860,Capital One Financial Corporation,2022,3,Supervisory Severely Adverse,12.5,8,4.5,46,31.2,0.6753246753246752,-0.00363229952500685,93
1037003,M&T Bank Corporation,2020,3,Supervisory Severely Adverse,9.5,5,4.5,9.2,4.3,0.4673913043478261,-0.00852272727272719,94
1575569,"BNP Paribas USA, Inc.",2017,3,Supervisory Severely Adverse,12.4,7.9,4.5,5.5,2.6,0.4727272727272727,0.0357142857142858,95
1068025,KeyCorp,2015,3,Supervisory Severely Adverse,10.9,6.4,4.5,4.1,3.1,0.7560975609756099,0.38777777777777783,96
1245415,BMO Financial Corp.,2016,3,Supervisory Severely Adverse,12.5,8,4.5,4,1.7,0.425,0.06859592711682751,97
2162966,Morgan Stanley,2014,2,Supervisory Adverse,15.2,10.7,4.5,1.5,16.6,1.4561403508771933,NA,98
2816906,DB USA Corporation,2020,3,Supervisory Severely Adverse,27.7,23.2,4.5,0.7,1.4,0.8749999999999999,-0.06336088154269966,99
1574834,"Credit Suisse Holdings (USA), Inc.",2020,3,Supervisory Severely Adverse,21.4,16.9,4.5,0.2,1.1,0.36666666666666664,-0.06075949367088604,100
1075612,"First Citizens Bancshares, Inc.",2025,3,Supervisory Severely Adverse,11.2,6.7,4.499999999999999,12.7,6.5,0.5038759689922481,-0.00824628916987355,101
3232316,HSBC North America Holdings Inc.,2016,2,Supervisory Adverse,17.9,13.4,4.499999999999998,2.5,0.6,0.20689655172413793,0.06218727662616146,102
