bank_rssd_id,bank_name,exercise_year,exercise_quarter,exercise_name_std,scenario_code,scenario_label,cet1_actual_ratio,cet1_end_ratio,cet1_min_ratio,tier1_actual_ratio,tier1_end_ratio,tier1_min_ratio,total_capital_actual_ratio,total_capital_end_ratio,total_capital_min_ratio,tier1_leverage_actual_ratio,tier1_leverage_end_ratio,tier1_leverage_min_ratio,supp_leverage_actual_ratio,supp_leverage_end_ratio,supp_leverage_min_ratio,rwa_actual_amount,rwa_end_amount,total_loan_losses_amount,total_loan_losses_rate,ppnr_amount,ppnr_rate,provision_amount,pretax_net_income_amount,pretax_net_income_rate,net_interest_income_amount,noninterest_income_amount,noninterest_expense_amount,other_revenue_amount,securities_losses_amount,trading_counterparty_losses_amount,other_losses_amount,aoci_actual_amount,aoci_end_amount,cet1_depletion_end,cet1_depletion_min,tier1_depletion_end,tier1_depletion_min,total_capital_depletion_end,total_capital_depletion_min,leverage_depletion_end,leverage_depletion_min,rwa_change_amount,rwa_growth_rate,total_market_operational_losses_amount,total_observed_losses_amount,ppnr_loss_absorption_ratio,provision_to_loan_loss_ratio,pretax_income_to_ppnr_ratio,loan_loss_burden_on_ppnr,observed_loss_burden_on_ppnr,aoci_change_amount
1074156,BB&T Corporation,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,10.3,6.9,6.9,11.8,8.5,8.5,14.3,10.9,10.9,9.8,7,7,NA,NA,NA,166.6,188.3,7.7,5.3,7,3.1,9.1,-2.2,-1,NA,NA,NA,0,0,0,0,0,0,3.4000000000000004,3.4000000000000004,3.3000000000000007,3.3000000000000007,3.4000000000000004,3.4000000000000004,2.8000000000000007,2.8000000000000007,21.700000000000017,0.13025210084033625,0,7.7,0.9090909090909091,1.1818181818181817,-0.31428571428571433,1.1,1.1,0
1078529,"BBVA Compass Bancshares, Inc.",2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,10.7,9.1,9.1,11.1,9.4,9.4,13.7,11.5,11.5,9,7.5,7.5,NA,NA,NA,68.8,75,2,3.1,1.6,1.7,2,-0.4,-0.4,NA,NA,NA,0,0,0,0,0,0,1.5999999999999996,1.5999999999999996,1.6999999999999993,1.6999999999999993,2.1999999999999993,2.1999999999999993,1.5,1.5,6.200000000000003,0.09011627906976749,0,2,0.8,1,-0.25,1.25,1.25,0
1078529,"BBVA Compass Bancshares, Inc.",2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,10.7,6.5,6.5,11.1,6.8,6.8,13.7,9.3,9.3,9,5.4,5.4,NA,NA,NA,68.8,73.8,3.4,5.4,1.1,1.1,3.8,-2.8,-3,NA,NA,NA,0,0,0,0,0,0,4.199999999999999,4.199999999999999,4.3,4.3,4.399999999999999,4.399999999999999,3.5999999999999996,3.5999999999999996,5,0.07267441860465117,0,3.4,0.3235294117647059,1.1176470588235294,-2.545454545454545,3.0909090909090904,3.0909090909090904,0
1245415,BMO Financial Corp.,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,11.9,8.5,8.5,11.9,8.9,8.9,14.9,11.1,11.1,9.3,6.8,6.8,NA,NA,NA,91.5,99.3,2.6,3.7,1.5,1.2,3,-1.4,-1.1,NA,NA,NA,0,0,0,0,0,0,3.4000000000000004,3.4000000000000004,3,3,3.8000000000000007,3.8000000000000007,2.500000000000001,2.500000000000001,7.799999999999997,0.08524590163934423,0,2.6,0.5769230769230769,1.1538461538461537,-0.9333333333333332,1.7333333333333334,1.7333333333333334,0
1245415,BMO Financial Corp.,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,11.9,5.9,5.9,11.9,6.4,6.4,14.9,8.7,8.7,9.3,4.9,4.9,NA,NA,NA,91.5,96.6,4,5.8,0.9,0.7,4.9,-3.9,-3,NA,NA,NA,0,0,0,0,0,0,6,6,5.5,5.5,6.200000000000001,6.200000000000001,4.4,4.4,5.099999999999994,0.055737704918032725,0,4,0.225,1.225,-4.333333333333333,4.444444444444445,4.444444444444445,0
1025608,BancWest Corporation,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,12.3,11.2,11.2,12.3,11.2,11.2,14.6,13.6,13.6,10.1,9.1,9.1,NA,NA,NA,72.6,79.4,2.7,4,3,3,3.1,-0.1,-0.1,NA,NA,NA,0,0,0,0,0,0,1.1000000000000014,1.1000000000000014,1.1000000000000014,1.1000000000000014,1,1,1,1,6.800000000000011,0.0936639118457302,0,2.7,1.111111111111111,1.1481481481481481,-0.03333333333333333,0.9,0.9,0
1025608,BancWest Corporation,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,12.3,8.6,8.6,12.3,8.6,8.6,14.6,11,11,10.1,7,7,NA,NA,NA,72.6,78.6,4.5,6.7,2.7,2.7,5.5,-2.8,-2.8,NA,NA,NA,0,0,0,0,0,0,3.700000000000001,3.700000000000001,3.700000000000001,3.700000000000001,3.5999999999999996,3.5999999999999996,3.0999999999999996,3.0999999999999996,6,0.08264462809917356,0,4.5,0.6000000000000001,1.2222222222222223,-1.037037037037037,1.6666666666666665,1.6666666666666665,0
1073757,Bank of America Corporation,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,11.6,10.5,10.5,12.9,12,12,15.7,14.3,14.3,8.6,8,8,NA,NA,NA,1403.3,1562.8,35.8,3.7,61.8,2.7,35.3,16.6,0.7,NA,NA,NA,0,0.3,7.8,1.8,-2.7,-5.5,1.0999999999999996,1.0999999999999996,0.9000000000000004,0.9000000000000004,1.3999999999999986,1.3999999999999986,0.5999999999999996,0.5999999999999996,159.5,0.11366065702273213,9.9,45.69999999999999,1.352297592997812,0.9860335195530726,0.26860841423948223,0.5792880258899676,0.739482200647249,-2.8
1073757,Bank of America Corporation,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,11.6,8.1,8.1,12.9,9.6,9.6,15.7,12.5,12.5,8.6,6.4,6.4,NA,NA,NA,1403.3,1522.6,53.7,5.6,45.7,2,59.2,-36.3,-1.6,NA,NA,NA,0,0.7,20,2.2,-2.7,3.9,3.5,3.5,3.3000000000000007,3.3000000000000007,3.1999999999999993,3.1999999999999993,2.1999999999999993,2.1999999999999993,119.29999999999995,0.08501389581700275,22.9,76.60000000000001,0.5966057441253263,1.1024208566108007,-0.7943107221006563,1.175054704595186,1.676148796498906,6.6
2277860,Capital One Financial Corporation,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,11.1,10,9.8,12.4,11.2,11,14.6,13.1,13.1,10.6,9.5,9.5,NA,NA,NA,265.7,289.8,20.4,8.5,27.1,7.7,22.5,4.6,1.3,NA,NA,NA,0,0,0,0.1,-0.4,-0.8,1.0999999999999996,1.299999999999999,1.200000000000001,1.4000000000000004,1.5,1.5,1.0999999999999996,1.0999999999999996,24.100000000000023,0.09070380127963878,0.1,20.5,1.3219512195121952,1.1029411764705883,0.16974169741697415,0.7527675276752767,0.7564575645756457,-0.4
2277860,Capital One Financial Corporation,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,11.1,8.2,8.2,12.4,9.4,9.4,14.6,11.4,11.4,10.6,8,8,NA,NA,NA,265.7,288.5,26.7,11.2,26,7.5,30.4,-4.6,-1.3,NA,NA,NA,0,0,0,0.1,-0.4,-0.3,2.9000000000000004,2.9000000000000004,3,3,3.1999999999999993,3.1999999999999993,2.5999999999999996,2.5999999999999996,22.80000000000001,0.08581106511102753,0.1,26.8,0.9701492537313433,1.1385767790262171,-0.1769230769230769,1.0269230769230768,1.0307692307692309,0.10000000000000003
1951350,Citigroup Inc.,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,15.3,11.3,11.3,15.5,12.6,12.6,18.5,15.2,15.2,10.2,8.3,8.3,NA,NA,NA,1138.7,1260.8,32.5,4.9,53.1,2.9,32.5,9,0.5,NA,NA,NA,0.3,0.9,8.4,2.5,-25.1,-32,4,4,2.9000000000000004,2.9000000000000004,3.3000000000000007,3.3000000000000007,1.8999999999999986,1.8999999999999986,122.09999999999991,0.10722754017739519,11.8,44.3,1.198645598194131,1,0.1694915254237288,0.6120527306967984,0.8342749529190207,-6.899999999999999
1951350,Citigroup Inc.,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,15.3,9.2,9.2,15.5,10.5,10.3,18.5,13.5,13.4,10.2,7,6.9,NA,NA,NA,1138.7,1230.5,45.8,7,43.7,2.4,50.1,-27.6,-1.5,NA,NA,NA,0.3,1.6,16.8,3,-25.1,-26.2,6.100000000000001,6.100000000000001,5,5.199999999999999,5,5.1,3.1999999999999993,3.299999999999999,91.79999999999995,0.08061824888030206,21.400000000000002,67.2,0.6502976190476191,1.0938864628820961,-0.631578947368421,1.0480549199084668,1.5377574370709381,-1.0999999999999979
1132449,"Citizens Financial Group, Inc.",2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,11.7,10.8,10.8,12,11,11,15.3,14,14,10.5,9.5,9.5,NA,NA,NA,114.1,124.5,3.2,3.1,4.2,2.9,3.4,0.8,0.5,NA,NA,NA,0,0,0,0,0,0,0.8999999999999986,0.8999999999999986,1,1,1.3000000000000007,1.3000000000000007,1,1,10.400000000000006,0.09114811568799304,0,3.2,1.3125,1.0625,0.19047619047619047,0.7619047619047619,0.7619047619047619,0
1132449,"Citizens Financial Group, Inc.",2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,11.7,8.8,8.8,12,9,9,15.3,12.3,12.3,10.5,7.8,7.8,NA,NA,NA,114.1,122.7,5,4.8,3.4,2.3,5.7,-2.5,-1.7,NA,NA,NA,0,0.1,0,0.1,0,0,2.8999999999999986,2.8999999999999986,3,3,3,3,2.7,2.7,8.600000000000009,0.07537248028045582,0.2,5.199999999999999,0.653846153846154,1.1400000000000001,-0.7352941176470589,1.4705882352941178,1.5294117647058822,0
1199844,Comerica Incorporated,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,10.5,10,10,10.5,10,10,12.7,11.5,11.5,10.2,9.5,9.5,NA,NA,NA,69.7,75.8,1.2,2.4,1.9,2.5,1,0.8,1.1,NA,NA,NA,0,0,0,0,0,0,0.5,0.5,0.5,0.5,1.1999999999999993,1.1999999999999993,0.6999999999999993,0.6999999999999993,6.099999999999994,0.08751793400286935,0,1.2,1.5833333333333333,0.8333333333333334,0.4210526315789474,0.631578947368421,0.631578947368421,0
1199844,Comerica Incorporated,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,10.5,8.3,8.3,10.5,8.3,8.3,12.7,10.2,10.2,10.2,7.9,7.9,NA,NA,NA,69.7,74.8,2.3,4.4,1.3,1.7,2.4,-1.1,-1.5,NA,NA,NA,0,0,0,0,0,0,2.1999999999999993,2.1999999999999993,2.1999999999999993,2.1999999999999993,2.5,2.5,2.299999999999999,2.299999999999999,5.099999999999994,0.07317073170731699,0,2.3,0.5652173913043479,1.0434782608695652,-0.8461538461538461,1.769230769230769,1.769230769230769,0
1032473,Deutsche Bank Trust Corporation,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,34.1,31.9,31.9,34.1,31.9,31.9,34.3,32.5,32.5,13.9,12.8,12.8,NA,NA,NA,21.9,23.8,0.4,2,0.7,1.3,0.5,0.2,0.4,NA,NA,NA,0,0,0,0,0,0,2.200000000000003,2.200000000000003,2.200000000000003,2.200000000000003,1.7999999999999972,1.7999999999999972,1.0999999999999996,1.0999999999999996,1.9000000000000021,0.08675799086758001,0,0.4,1.7499999999999998,1.25,0.28571428571428575,0.5714285714285715,0.5714285714285715,0
1032473,Deutsche Bank Trust Corporation,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,34.1,30.1,30.1,34.1,30.1,30.1,34.3,31.2,31.2,13.9,12.2,12.2,NA,NA,NA,21.9,23.6,0.8,3.8,0.5,1,1,-0.4,-0.8,NA,NA,NA,0,0,0,0,0,0,4,4,4,4,3.099999999999998,3.099999999999998,1.700000000000001,1.700000000000001,1.7000000000000028,0.07762557077625584,0,0.8,0.625,1.25,-0.8,1.6,1.6,0
3846375,Discover Financial Services,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,13.9,14.4,12.9,14.7,15,13.7,16.5,16.5,15.4,12.9,13,12.3,NA,NA,NA,75.8,82.7,7.4,9.7,13.3,14.5,8.9,4.4,4.8,NA,NA,NA,0,0,0,0,0,0,-0.5,1,-0.3000000000000007,1,0,1.0999999999999996,-0.09999999999999964,0.5999999999999996,6.900000000000006,0.09102902374670192,0,7.4,1.7972972972972974,1.2027027027027026,0.3308270676691729,0.556390977443609,0.556390977443609,0
3846375,Discover Financial Services,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,13.9,12.4,11.9,14.7,13.1,12.6,16.5,14.5,14.1,12.9,11.4,11.3,NA,NA,NA,75.8,81.7,9.3,12.4,13,14.3,11.3,1.7,1.9,NA,NA,NA,0,0,0,0,0,0,1.5,2,1.5999999999999996,2.0999999999999996,2,2.4000000000000004,1.5,1.5999999999999996,5.900000000000006,0.07783641160949877,0,9.3,1.3978494623655913,1.2150537634408602,0.13076923076923078,0.7153846153846154,0.7153846153846154,0
1070345,Fifth Third Bancorp,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,9.8,9,9,10.9,9.9,9.9,14.1,12.7,12.7,9.5,8.6,8.6,NA,NA,NA,121.3,133.3,3.4,3.6,5.2,3.5,3.3,1.9,1.3,NA,NA,NA,0,0,0,0,0,0,0.8000000000000007,0.8000000000000007,1,1,1.4000000000000004,1.4000000000000004,0.9000000000000004,0.9000000000000004,12.000000000000014,0.09892827699917572,0,3.4,1.5294117647058825,0.9705882352941176,0.36538461538461536,0.6538461538461539,0.6538461538461539,0
1070345,Fifth Third Bancorp,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,9.8,6.8,6.8,10.9,7.8,7.8,14.1,11.1,11.1,9.5,6.8,6.8,NA,NA,NA,121.3,131.7,5.5,5.8,4,2.7,6,-2.1,-1.4,NA,NA,NA,0,0,0,0,0,0,3.000000000000001,3.000000000000001,3.1000000000000005,3.1000000000000005,3,3,2.7,2.7,10.399999999999991,0.08573784006595211,0,5.5,0.7272727272727273,1.0909090909090908,-0.525,1.375,1.375,0
3232316,HSBC North America Holdings Inc.,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,15.7,10.2,10.2,17.3,12,12,22.6,15.3,15.3,10,6.8,6.8,NA,NA,NA,170.8,182.9,3.5,3.9,1,0.3,3.4,-3.7,-1.3,NA,NA,NA,0,0,0,1.3,-0.3,-0.8,5.5,5.5,5.300000000000001,5.300000000000001,7.300000000000001,7.300000000000001,3.2,3.2,12.099999999999994,0.07084309133489458,1.3,4.8,0.20833333333333334,0.9714285714285714,-3.7,3.5,4.8,-0.5
3232316,HSBC North America Holdings Inc.,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,15.7,9.1,9.1,17.3,11,11,22.6,15.2,15.2,10,6.2,6.2,NA,NA,NA,170.8,177.7,5.4,5.9,-1.2,-0.4,5.8,-8.8,-3.1,NA,NA,NA,0,0,0,1.7,-0.3,1.1,6.6,6.6,6.300000000000001,6.300000000000001,7.400000000000002,7.400000000000002,3.8,3.8,6.899999999999977,0.0403981264637001,1.7,7.1000000000000005,-0.16901408450704222,1.074074074074074,7.333333333333334,-4.500000000000001,-5.916666666666667,1.4000000000000001
1068191,Huntington Bancshares Incorporated,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,9.8,7.7,7.7,10.5,8.9,8.9,12.6,11.1,11.1,8.8,7.1,7.1,NA,NA,NA,58.4,82.9,2,3.1,2.8,2.9,2.3,0.4,0.5,NA,NA,NA,0,0,0,0,0,0,2.1000000000000005,2.1000000000000005,1.5999999999999996,1.5999999999999996,1.5,1.5,1.700000000000001,1.700000000000001,24.500000000000007,0.4195205479452056,0,2,1.4,1.15,0.14285714285714288,0.7142857142857143,0.7142857142857143,0
1068191,Huntington Bancshares Incorporated,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,9.8,5,5,10.5,6.3,6.3,12.6,8.6,8.6,8.8,5,5,NA,NA,NA,58.4,81.5,3.1,4.8,2.2,2.3,3.7,-1.6,-1.8,NA,NA,NA,0,0.1,0,0,0,0,4.800000000000001,4.800000000000001,4.2,4.2,4,4,3.8000000000000007,3.8000000000000007,23.1,0.3955479452054795,0.1,3.2,0.6875,1.1935483870967742,-0.7272727272727273,1.409090909090909,1.4545454545454546,0
1039502,JPMorgan Chase & Co.,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,12,10.6,10.6,13.7,12.2,12.2,16,14.1,14.1,8.5,7.5,7.5,NA,NA,NA,1465.3,1614.7,33.9,3.8,78.8,3.2,34.3,29.5,1.2,NA,NA,NA,0,0.9,13.7,0.4,0.1,-4.2,1.4000000000000004,1.4000000000000004,1.5,1.5,1.9000000000000004,1.9000000000000004,1,1,149.4000000000001,0.10195864328123941,15,48.9,1.6114519427402862,1.0117994100294985,0.3743654822335026,0.4302030456852792,0.6205583756345178,-4.3
1039502,JPMorgan Chase & Co.,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,12,8.3,8.3,13.7,9.9,9.9,16,12.1,12.1,8.5,6.2,6.2,NA,NA,NA,1465.3,1603.3,53.4,6.1,64.9,2.6,60.2,-30.5,-1.2,NA,NA,NA,0,2.1,32.6,0.5,0.1,-2.7,3.6999999999999993,3.6999999999999993,3.799999999999999,3.799999999999999,3.9000000000000004,3.9000000000000004,2.3,2.3,138,0.0941786664846789,35.2,88.6,0.7325056433408579,1.1273408239700375,-0.46995377503852076,0.822804314329738,1.36517719568567,-2.8000000000000003
1068025,KeyCorp,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,10.9,8.8,8.8,11.4,9.2,9.2,13,11,11,10.7,8.1,8.1,NA,NA,NA,90,127.1,2.5,3,4,3.1,2.7,1.3,1,NA,NA,NA,0,0,0,0.1,0,0,2.0999999999999996,2.0999999999999996,2.200000000000001,2.200000000000001,2,2,2.5999999999999996,2.5999999999999996,37.099999999999994,0.41222222222222216,0.1,2.6,1.5384615384615383,1.08,0.325,0.625,0.65,0
1068025,KeyCorp,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,10.9,6.4,6.4,11.4,6.8,6.8,13,8.9,8.9,10.7,6,6,NA,NA,NA,90,124.9,4.1,5.1,3.1,2.4,4.7,-1.7,-1.3,NA,NA,NA,0,0,0,0,0,0,4.5,4.5,4.6000000000000005,4.6000000000000005,4.1,4.1,4.699999999999999,4.699999999999999,34.900000000000006,0.38777777777777783,0,4.1,0.7560975609756099,1.1463414634146343,-0.5483870967741935,1.3225806451612903,1.3225806451612903,0
1037003,M&T Bank Corporation,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,11.1,9.6,9.6,12.7,10.8,10.8,14.9,12.7,12.7,10.9,9.1,9.1,NA,NA,NA,94.7,102.7,3.2,3.5,4,3.1,3.3,0.6,0.5,NA,NA,NA,0,0,0,0,0,0,1.5,1.5,1.8999999999999986,1.8999999999999986,2.200000000000001,2.200000000000001,1.8000000000000007,1.8000000000000007,8,0.08447729672650475,0,3.2,1.25,1.0312499999999998,0.15,0.8,0.8,0
1037003,M&T Bank Corporation,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,11.1,6.9,6.9,12.7,8.2,8.2,14.9,10.3,10.3,10.9,6.9,6.9,NA,NA,NA,94.7,101.6,5.2,5.8,3.1,2.5,6.1,-2.9,-2.3,NA,NA,NA,0,0,0,0,0,0,4.199999999999999,4.199999999999999,4.5,4.5,4.6,4.6,4,4,6.8999999999999915,0.07286166842661025,0,5.2,0.5961538461538461,1.173076923076923,-0.9354838709677419,1.6774193548387097,1.6774193548387097,0
1378434,MUFG Americas Holdings Corporation,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,13.6,12.5,12.5,13.6,12.5,12.5,15.6,13.9,13.9,11.4,8.7,8.7,NA,NA,NA,94.8,110.6,1.7,2.1,1.9,1.3,1.7,-0.1,0,NA,NA,NA,0,0.2,0,0.1,0,0,1.0999999999999996,1.0999999999999996,1.0999999999999996,1.0999999999999996,1.6999999999999993,1.6999999999999993,2.700000000000001,2.700000000000001,15.799999999999997,0.16666666666666663,0.30000000000000004,2,0.95,1,-0.052631578947368425,0.8947368421052632,1.0526315789473684,0
1378434,MUFG Americas Holdings Corporation,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,13.6,10.1,10.1,13.6,10.1,10.1,15.6,12.2,12.2,11.4,7,7,NA,NA,NA,94.8,109.3,3.4,4.2,1.2,0.8,4,-3.3,-2.2,NA,NA,NA,0,0.4,0,0.1,0,0,3.5,3.5,3.5,3.5,3.4000000000000004,3.4000000000000004,4.4,4.4,14.5,0.1529535864978903,0.5,3.9,0.3076923076923077,1.1764705882352942,-2.75,2.8333333333333335,3.25,0
2162966,Morgan Stanley,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,16.4,12.8,12.7,18.4,14.5,14.3,22,17.4,17.4,8.3,6.5,6.5,NA,NA,NA,362.9,399.1,2,1.9,11.9,1.4,2.4,-0.1,0,NA,NA,NA,0,0,7.2,2.3,-1.2,-1.8,3.599999999999998,3.6999999999999993,3.8999999999999986,4.099999999999998,4.600000000000001,4.600000000000001,1.8000000000000007,1.8000000000000007,36.200000000000045,0.09975199779553609,9.5,11.5,1.0347826086956522,1.2,-0.008403361344537815,0.1680672268907563,0.9663865546218487,-0.6000000000000001
2162966,Morgan Stanley,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,16.4,10,9.1,18.4,11.6,10.2,22,14.6,13.5,8.3,5.4,4.9,NA,NA,NA,362.9,403,3.3,3.3,7.8,1,4.3,-12.5,-1.5,NA,NA,NA,0,0.1,13,3,-1.2,-0.5,6.399999999999999,7.299999999999999,6.799999999999999,8.2,7.4,8.5,2.9000000000000004,3.4000000000000004,40.10000000000002,0.11049875998897775,16.1,19.4,0.4020618556701031,1.303030303030303,-1.6025641025641026,0.4230769230769231,2.4871794871794872,0.7
1199611,Northern Trust Corporation,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,10.8,10.5,10.5,11.4,11,11,13.2,12.5,12.5,7.5,7.1,7.1,NA,NA,NA,74,80.3,0.9,2.6,3.2,2.6,1,2.2,1.8,NA,NA,NA,0,0,0,0,-0.2,-0.4,0.3000000000000007,0.3000000000000007,0.40000000000000036,0.40000000000000036,0.6999999999999993,0.6999999999999993,0.40000000000000036,0.40000000000000036,6.299999999999997,0.0851351351351351,0,0.9,3.555555555555556,1.1111111111111112,0.6875,0.28125,0.28125,-0.2
1199611,Northern Trust Corporation,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,10.8,9.6,9.6,11.4,10.1,10.1,13.2,11.9,11.9,7.5,6.5,6.5,NA,NA,NA,74,79.2,1.6,4.6,2.4,2,2,0.4,0.3,NA,NA,NA,0,0,0,0,-0.2,-0.1,1.200000000000001,1.200000000000001,1.3000000000000007,1.3000000000000007,1.299999999999999,1.299999999999999,1,1,5.200000000000003,0.0702702702702703,0,1.6,1.4999999999999998,1.25,0.16666666666666669,0.6666666666666667,0.6666666666666667,0.1
3242838,Regions Financial Corporation,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,10.9,9.6,9.6,11.7,10.2,10.2,13.9,12.1,12.1,10.3,8.8,8.8,NA,NA,NA,105.6,114.7,3.2,3.8,4,3,3.3,0.7,0.5,NA,NA,NA,0,0,0,0,0,0,1.3000000000000007,1.3000000000000007,1.5,1.5,1.8000000000000007,1.8000000000000007,1.5,1.5,9.100000000000009,0.08617424242424251,0,3.2,1.25,1.0312499999999998,0.175,0.8,0.8,0
3242838,Regions Financial Corporation,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,10.9,7.3,7.3,11.7,7.9,7.9,13.9,10,10,10.3,6.9,6.9,NA,NA,NA,105.6,113.3,5.2,6.1,3.1,2.4,5.8,-2.8,-2.1,NA,NA,NA,0,0,0,0,0,0,3.6000000000000005,3.6000000000000005,3.799999999999999,3.799999999999999,3.9000000000000004,3.9000000000000004,3.4000000000000004,3.4000000000000004,7.700000000000003,0.0729166666666667,0,5.2,0.5961538461538461,1.1153846153846154,-0.9032258064516128,1.6774193548387097,1.6774193548387097,0
3981856,"Santander Holdings USA, Inc.",2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,12,13.8,12.2,13.5,14.8,13.4,15.3,16.3,15.1,11.6,11.6,11.3,NA,NA,NA,108.5,119.7,4.9,5.5,6.9,4.8,3.3,3.5,2.4,NA,NA,NA,0,0,0,0.1,0,0,-1.8000000000000007,-0.1999999999999993,-1.3000000000000007,0.09999999999999964,-1,0.20000000000000107,0,0.29999999999999893,11.200000000000003,0.10322580645161293,0.1,5,1.3800000000000001,0.6734693877551019,0.5072463768115941,0.7101449275362319,0.7246376811594203,0
3981856,"Santander Holdings USA, Inc.",2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,12,11.8,11.8,13.5,12.7,12.7,15.3,14.2,14.2,11.6,10,10,NA,NA,NA,108.5,117.3,7.1,8.2,6.3,4.4,6.3,-0.2,-0.2,NA,NA,NA,0,0.1,0,0.1,0,0,0.1999999999999993,0.1999999999999993,0.8000000000000007,0.8000000000000007,1.1000000000000014,1.1000000000000014,1.5999999999999996,1.5999999999999996,8.799999999999997,0.08110599078341012,0.2,7.299999999999999,0.8630136986301371,0.8873239436619719,-0.03174603174603175,1.126984126984127,1.1587301587301586,0
1111435,State Street Corporation,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,13,10.6,10.6,15.9,13.7,13.7,18.2,15.6,15.6,6.9,5.7,5.7,NA,NA,NA,95.9,102.6,0.2,1.2,4.9,1.9,0.3,3.7,1.4,NA,NA,NA,0,0.2,0.7,0,-1.4,-2.6,2.4000000000000004,2.4000000000000004,2.200000000000001,2.200000000000001,2.5999999999999996,2.5999999999999996,1.2000000000000002,1.2000000000000002,6.699999999999989,0.06986444212721572,0.8999999999999999,1.1,4.454545454545454,1.4999999999999998,0.7551020408163265,0.04081632653061224,0.22448979591836735,-1.2000000000000002
1111435,State Street Corporation,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,13,9.6,9.6,15.9,12.8,12.8,18.2,14.7,14.7,6.9,5.4,5.4,NA,NA,NA,95.9,101.4,0.4,1.9,2.9,1.1,0.4,0.6,0.2,NA,NA,NA,0,0.4,1.5,0,-1.4,-1.6,3.4000000000000004,3.4000000000000004,3.0999999999999996,3.0999999999999996,3.5,3.5,1.5,1.5,5.5,0.05735140771637122,1.9,2.3,1.2608695652173914,1,0.20689655172413793,0.13793103448275862,0.793103448275862,-0.20000000000000018
1131787,"SunTrust Banks, Inc.",2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,10,9.2,9.2,10.8,9.9,9.9,12.5,11.3,11.3,9.7,8.8,8.8,NA,NA,NA,164.9,182.1,4,2.8,6.9,3.4,4,2.6,1.3,NA,NA,NA,0,0,0,0.4,0,0,0.8000000000000007,0.8000000000000007,0.9000000000000004,0.9000000000000004,1.1999999999999993,1.1999999999999993,0.8999999999999986,0.8999999999999986,17.19999999999999,0.10430563978168579,0.4,4.4,1.5681818181818181,1,0.37681159420289856,0.5797101449275363,0.6376811594202899,0
1131787,"SunTrust Banks, Inc.",2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,10,7.5,7.5,10.8,8.2,8.2,12.5,9.9,9.9,9.7,7.4,7.4,NA,NA,NA,164.9,180.3,6.4,4.5,5.1,2.6,7.1,-2.4,-1.2,NA,NA,NA,0,0,0,0.4,0,0,2.5,2.5,2.6000000000000014,2.6000000000000014,2.5999999999999996,2.5999999999999996,2.299999999999999,2.299999999999999,15.400000000000006,0.09338993329290482,0.4,6.800000000000001,0.7499999999999999,1.1093749999999998,-0.47058823529411764,1.254901960784314,1.3333333333333335,0
