bank_rssd_id,bank_name,observations,years,scenarios,cet1_rmse,cet1_mae,cet1_bias,cet1_correlation,max_abs_cet1_error,mean_abs_cet1_error,high_precision_share,acceptable_or_better_share,high_model_risk_observations,moderate_model_risk_observations,watchlist_observations,high_model_risk_share,moderate_or_high_model_risk_share,threshold_miss_observations,near_threshold_observations,mean_model_risk_score,max_model_risk_score,bank_model_risk_rank
1039502,JPMorgan Chase & Co.,16,11,3,0.6008663685027424,0.4546749593342349,-0.005792887449996897,0.960830383007887,1.3349256489410497,0.4546749593342349,0.6875,0.875,0,2,0,0,0.125,0,1,0.34185987903225806,0.647983870967742,26
1120754,Wells Fargo & Company,16,11,3,0.4649889801520108,0.3546303655248298,-0.010840350671576349,0.9162095051978856,1.117201253282813,0.3546303655248298,0.75,0.9375,0,1,2,0,0.0625,0,2,0.36469884072580644,0.644657258064516,27
1132449,"Citizens Financial Group, Inc.",13,9,3,0.5667396222423053,0.46357455445886014,-5.465527004752375e-16,0.9390096650696781,1.1331565595011988,0.4635745544588601,0.6923076923076923,0.8461538461538461,2,2,6,0.15384615384615385,0.3076923076923077,2,9,0.4441144540942928,0.6380040322580646,28
3981856,"Santander Holdings USA, Inc.",12,8,3,0.7253667611641752,0.6228800975580548,-7.401351305562817e-16,0.9487362425287035,1.2590379542142909,0.6228800975580548,0.5,0.6666666666666666,0,4,0,0,0.3333333333333333,0,0,0.46703629032258065,0.6351814516129033,29
5280254,RBC US Group Holdings LLC,8,7,2,0.4609528092247693,0.35787390157489773,0.022334367273105338,0.9519543015481639,0.9677890393166512,0.35787390157489773,0.625,1,0,0,0,0,0,0,0,0.34174647177419354,0.6236895161290322,30
1073757,Bank of America Corporation,16,11,3,0.3830816067576262,0.31525127014075527,-0.00660832400064626,0.9373460565363636,0.7859506634470907,0.31525127014075527,0.75,1,0,0,3,0,0,0,3,0.3439390120967742,0.6214717741935484,31
1378434,MUFG Americas Holdings Corporation,9,5,3,0.7633796413511152,0.6206024218235707,-0.052350497803632164,0.8766591656872107,1.3630497092334224,0.6206024218235707,0.5555555555555556,0.7777777777777778,0,2,0,0,0.2222222222222222,0,0,0.46846998207885304,0.6162298387096774,32
1032473,Deutsche Bank Trust Corporation,4,2,2,0.8973633940727217,0.764027410275987,7.993605777301127e-15,0.9986809550583909,1.528054820551958,0.764027410275987,0.5,0.75,0,1,0,0,0.25,0,0,0.46509576612903225,0.6140120967741935,33
1074156,BB&T Corporation,6,3,2,0.3814537768636931,0.33725519860163783,-8.289665250534503e-15,0.9458954072079144,0.5417060234112636,0.33725519860163783,0.6666666666666666,1,1,0,2,0.16666666666666666,0.16666666666666666,1,3,0.3689852150537634,0.5637096774193548,34
1131787,"SunTrust Banks, Inc.",6,3,2,0.3726194710901407,0.3283639582445863,-2.960604896729118e-15,0.9373449713174958,0.5764234442523923,0.3283639582445863,0.6666666666666666,1,2,0,1,0.3333333333333333,0.3333333333333333,2,3,0.36092069892473116,0.5038306451612904,35
NA,35 participating firms,2,1,2,0.5873328721645006,0.5873328721645006,-1.7763568394002505e-15,NA,0.5873328721645024,0.5873328721645006,0,1,0,0,1,0,0,0,1,0.46370967741935487,0.4880040322580645,36
1070345,Fifth Third Bancorp,12,8,3,0.20069089974551305,0.15531428028697677,1.4802747786216153e-16,0.9777743593324156,0.5168904958040059,0.15531428028697677,0.9166666666666666,1,0,0,7,0,0,0,7,0.2712953629032258,0.48366935483870965,37
3242838,Regions Financial Corporation,12,8,3,0.2568894644633324,0.19447241222306375,0.002538827742221361,0.9734147020450845,0.6622281681512989,0.19447241222306375,0.9166666666666666,1,0,0,7,0,0,0,7,0.29166666666666663,0.44102822580645157,38
1036967,CIT Group Inc.,2,1,2,0.7377642823518356,0.7377642823518356,-8.881784197001252e-16,NA,0.7377642823518364,0.7377642823518356,0,1,0,0,0,0,0,0,0,0.43392137096774186,0.4344758064516128,39
1074156,Truist Financial Corporation,8,7,2,0.23629630537828508,0.20011121728348458,0.007404670041300743,0.9876490547241129,0.3719601023112027,0.20011121728348458,1,1,1,0,4,0.125,0.125,1,5,0.2682459677419355,0.3980846774193549,40
1078529,"BBVA Compass Bancshares, Inc.",6,3,2,0.12032473326542538,0.09310880133224349,2.960617319879011e-16,0.9963494132910875,0.2002878338794547,0.09310880133224349,1,1,0,0,3,0,0,0,3,0.25114247311827953,0.3678427419354839,41
