bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,variable,value,outlier_1_99_flag
2816906,DB USA Corporation,2023,3,Supervisory Severely Adverse,y_ppnr_ratio,-0.045576407506702415,TRUE
2816906,DB USA Corporation,2024,3,Supervisory Severely Adverse,y_ppnr_ratio,-0.022779043280182234,TRUE
2816906,DB USA Corporation,2020,3,Supervisory Severely Adverse,y_ppnr_ratio,-0.021875,TRUE
2816906,DB USA Corporation,2020,30,Supervisory Alternative Severe,y_ppnr_ratio,-0.021875,TRUE
1574834,"Credit Suisse Holdings (USA), Inc.",2022,3,Supervisory Severely Adverse,y_ppnr_ratio,-0.017937219730941704,TRUE
2816906,DB USA Corporation,2018,3,Supervisory Severely Adverse,y_ppnr_ratio,-0.010958904109589041,TRUE
1026632,The Charles Schwab Corporation,2025,3,Supervisory Severely Adverse,y_pretax_margin,0.13383838383838384,TRUE
2816906,DB USA Corporation,2023,3,Supervisory Severely Adverse,y_pretax_margin,-0.10723860589812333,TRUE
4504654,Synchrony Financial,2025,3,Supervisory Severely Adverse,y_pretax_margin,0.08380952380952382,TRUE
2816906,DB USA Corporation,2020,30,Supervisory Alternative Severe,y_pretax_margin,-0.08125,TRUE
1026632,The Charles Schwab Corporation,2024,3,Supervisory Severely Adverse,y_pretax_margin,0.08098591549295775,TRUE
1275216,American Express Company,2015,2,Supervisory Adverse,y_pretax_margin,0.07988165680473373,TRUE
2816906,DB USA Corporation,2024,3,Supervisory Severely Adverse,y_pretax_margin,-0.07972665148063782,TRUE
2816906,DB USA Corporation,2020,3,Supervisory Severely Adverse,y_pretax_margin,-0.078125,TRUE
3587146,The Bank of New York Mellon Corporation,2016,2,Supervisory Adverse,y_pretax_margin,0.07786052809749493,TRUE
1275216,American Express Company,2016,2,Supervisory Adverse,y_pretax_margin,0.07557251908396947,TRUE
1574834,"Credit Suisse Holdings (USA), Inc.",2022,3,Supervisory Severely Adverse,y_pretax_margin,-0.07399103139013452,TRUE
3232316,HSBC North America Holdings Inc.,2020,30,Supervisory Alternative Severe,y_pretax_margin,-0.07232704402515723,TRUE
