component,duplicated_key,bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,key_count
credit_loss,FALSE,1245415,BMO Financial Corp.,2019,3,Supervisory Severely Adverse,1
credit_loss,TRUE,1245415,BMO Financial Corp.,2020,3,Supervisory Severely Adverse,2
credit_loss,FALSE,1245415,BMO Financial Corp.,2020,30,Supervisory Alternative Severe,1
credit_loss,FALSE,1245415,BMO Financial Corp.,2021,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1245415,BMO Financial Corp.,2022,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1245415,BMO Financial Corp.,2023,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1245415,BMO Financial Corp.,2024,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1245415,BMO Financial Corp.,2025,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1275216,American Express Company,2015,2,Supervisory Adverse,1
credit_loss,FALSE,1275216,American Express Company,2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1275216,American Express Company,2016,2,Supervisory Adverse,1
credit_loss,FALSE,1275216,American Express Company,2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1275216,American Express Company,2017,2,Supervisory Adverse,1
credit_loss,FALSE,1275216,American Express Company,2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1275216,American Express Company,2019,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1275216,American Express Company,2020,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1275216,American Express Company,2020,30,Supervisory Alternative Severe,1
credit_loss,FALSE,1275216,American Express Company,2021,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1275216,American Express Company,2023,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1275216,American Express Company,2024,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1275216,American Express Company,2025,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1378434,MUFG Americas Holdings Corporation,2015,2,Supervisory Adverse,1
credit_loss,FALSE,1378434,MUFG Americas Holdings Corporation,2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1378434,MUFG Americas Holdings Corporation,2016,2,Supervisory Adverse,1
credit_loss,FALSE,1378434,MUFG Americas Holdings Corporation,2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1378434,MUFG Americas Holdings Corporation,2017,2,Supervisory Adverse,1
credit_loss,FALSE,1378434,MUFG Americas Holdings Corporation,2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1378434,MUFG Americas Holdings Corporation,2019,3,Supervisory Severely Adverse,1
credit_loss,TRUE,1378434,MUFG Americas Holdings Corporation,2020,3,Supervisory Severely Adverse,2
credit_loss,FALSE,1378434,MUFG Americas Holdings Corporation,2020,30,Supervisory Alternative Severe,1
credit_loss,FALSE,1562859,Ally Financial Inc.,2015,2,Supervisory Adverse,1
credit_loss,FALSE,1562859,Ally Financial Inc.,2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1562859,Ally Financial Inc.,2016,2,Supervisory Adverse,1
credit_loss,FALSE,1562859,Ally Financial Inc.,2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1562859,Ally Financial Inc.,2017,2,Supervisory Adverse,1
credit_loss,FALSE,1562859,Ally Financial Inc.,2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1562859,Ally Financial Inc.,2019,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1562859,Ally Financial Inc.,2020,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1562859,Ally Financial Inc.,2020,30,Supervisory Alternative Severe,1
credit_loss,FALSE,1562859,Ally Financial Inc.,2021,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1562859,Ally Financial Inc.,2023,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1562859,Ally Financial Inc.,2025,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1574834,"Credit Suisse Holdings (USA), Inc.",2017,2,Supervisory Adverse,1
credit_loss,FALSE,1574834,"Credit Suisse Holdings (USA), Inc.",2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1574834,"Credit Suisse Holdings (USA), Inc.",2018,2,Supervisory Adverse,1
credit_loss,FALSE,1574834,"Credit Suisse Holdings (USA), Inc.",2018,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1574834,"Credit Suisse Holdings (USA), Inc.",2019,3,Supervisory Severely Adverse,1
credit_loss,TRUE,1574834,"Credit Suisse Holdings (USA), Inc.",2020,3,Supervisory Severely Adverse,2
credit_loss,FALSE,1574834,"Credit Suisse Holdings (USA), Inc.",2020,30,Supervisory Alternative Severe,1
credit_loss,FALSE,1574834,"Credit Suisse Holdings (USA), Inc.",2021,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1574834,"Credit Suisse Holdings (USA), Inc.",2022,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1575569,"BNP Paribas USA, Inc.",2017,2,Supervisory Adverse,1
credit_loss,FALSE,1575569,"BNP Paribas USA, Inc.",2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1575569,"BNP Paribas USA, Inc.",2019,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1575569,"BNP Paribas USA, Inc.",2020,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1575569,"BNP Paribas USA, Inc.",2020,30,Supervisory Alternative Severe,1
credit_loss,FALSE,1575569,"BNP Paribas USA, Inc.",2021,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1951350,Citigroup Inc.,2015,2,Supervisory Adverse,1
credit_loss,FALSE,1951350,Citigroup Inc.,2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1951350,Citigroup Inc.,2016,2,Supervisory Adverse,1
credit_loss,FALSE,1951350,Citigroup Inc.,2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1951350,Citigroup Inc.,2017,2,Supervisory Adverse,1
credit_loss,FALSE,1951350,Citigroup Inc.,2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1951350,Citigroup Inc.,2018,2,Supervisory Adverse,1
credit_loss,FALSE,1951350,Citigroup Inc.,2018,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1951350,Citigroup Inc.,2019,3,Supervisory Severely Adverse,1
credit_loss,TRUE,1951350,Citigroup Inc.,2020,3,Supervisory Severely Adverse,2
credit_loss,FALSE,1951350,Citigroup Inc.,2020,30,Supervisory Alternative Severe,1
credit_loss,FALSE,1951350,Citigroup Inc.,2021,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1951350,Citigroup Inc.,2022,3,Supervisory Severely Adverse,1
